form_name,form_subtype,office_code,publication_date,form_note_en,form_note_es,range_upper,range_upper_unit,range_lower,range_lower_unit,service_request_date,subtype_info_en,subtype_info_es
I-102,142,CSC,"October 18, 2024",NA,NA,33.5,Months,6.5,Months,"January 28, 2022",Initial issuance or replacement of a Form I-94,Emisión o reemplazo inicial del Formulario I-94
I-102,142,NBC,"October 18, 2024",NA,NA,5.5,Months,4,Months,"May 21, 2024",Initial issuance or replacement of a Form I-94,Emisión o reemplazo inicial del Formulario I-94
I-102,142,NSC,"October 18, 2024",NA,NA,24,Months,18,Months,"November 03, 2022",Initial issuance or replacement of a Form I-94,Emisión o reemplazo inicial del Formulario I-94
I-102,142,SSC,"October 18, 2024",NA,NA,4,Months,2,Months,"July 02, 2024",Initial issuance or replacement of a Form I-94,Emisión o reemplazo inicial del Formulario I-94
I-102,142,ESC,"October 18, 2024",NA,NA,8.5,Months,6.5,Months,"February 22, 2024",Initial issuance or replacement of a Form I-94,Emisión o reemplazo inicial del Formulario I-94
I-129,137-E,CSC,"October 18, 2024",NA,NA,13,Months,7,Months,"October 07, 2023",E - Treaty traders and investors,E - Comerciantes e inversionistas
I-129,137-E3,ESC,"October 18, 2024",NA,NA,7,Months,3.5,Months,"April 08, 2024",E3 - Specialty occupation workers from Australia,E-3 para Trabajadores Australianos en Trabajos Especializados
I-129,137-H1B1,CSC,"October 18, 2024",NA,NA,6.5,Months,3.5,Months,"April 20, 2024",H-1B - Specialty occupation - Visa to be issued abroad,H-1B - Ocupación especial - visa que se expedirá en el exterior
I-129,137-H1B1,SSC,"October 18, 2024",NA,NA,7,Months,3.5,Months,"April 07, 2024",H-1B - Specialty occupation - Visa to be issued abroad,H-1B - Ocupación especial - visa que se expedirá en el exterior
I-129,137-H1B1,ESC,"October 18, 2024",NA,NA,6,Months,3.5,Months,"May 03, 2024",H-1B - Specialty occupation - Visa to be issued abroad,H-1B - Ocupación especial - visa que se expedirá en el exterior
I-129,137-H1B2,CSC,"October 18, 2024",NA,NA,4,Months,3.5,Months,"July 20, 2024",H-1B - Specialty occupation - Change of status in the U.S.,H-1B - Ocupación especial - cambio de la condición migratoria en los E.E.U.U.
I-129,137-H1B2,SSC,"October 18, 2024",NA,NA,3.5,Months,3,Months,"July 21, 2024",H-1B - Specialty occupation - Change of status in the U.S.,H-1B - Ocupación especial - cambio de la condición migratoria en los E.E.U.U.
I-129,137-H1B2,ESC,"October 18, 2024",NA,NA,4,Months,3.5,Months,"July 07, 2024",H-1B - Specialty occupation - Change of status in the U.S.,H-1B - Ocupación especial - cambio de la condición migratoria en los E.E.U.U.
I-129,137-H1B3,CSC,"October 18, 2024",NA,NA,4,Months,3,Months,"July 09, 2024",H-1B - Specialty occupation - Extension of stay in the U.S.,H-1B - Ocupación especial - extensión de la estadía en los E.E.U.U.
I-129,137-H1B3,NSC,"October 18, 2024",NA,NA,5.5,Months,4.5,Months,"May 21, 2024",H-1B - Specialty occupation - Extension of stay in the U.S.,H-1B - Ocupación especial - extensión de la estadía en los E.E.U.U.
I-129,137-H1B3,SSC,"October 18, 2024",NA,NA,4,Months,2.5,Months,"July 08, 2024",H-1B - Specialty occupation - Extension of stay in the U.S.,H-1B - Ocupación especial - extensión de la estadía en los E.E.U.U.
I-129,137-H1B3,ESC,"October 18, 2024",NA,NA,7,Months,6.5,Months,"April 10, 2024",H-1B - Specialty occupation - Extension of stay in the U.S.,H-1B - Ocupación especial - extensión de la estadía en los E.E.U.U.
I-129,137-H2A,CSC,"October 18, 2024",NA,NA,1,Month,2,Weeks,"October 15, 2024",H-2A - Temporary agricultural workers,H-2A - Trabajadores agrícolas temporales
I-129,137-H2B,CSC,"October 18, 2024",NA,NA,4,Months,1.5,Months,"July 03, 2024",H-2B - Temporary nonagricultural workers,H-2B - Trabajadores temporal no agrícolas
I-129,137-H2B,ESC,"October 18, 2024",NA,NA,4.5,Months,3,Months,"June 16, 2024",H-2B - Temporary nonagricultural workers,H-2B - Trabajadores temporal no agrícolas
I-129,137-H3,CSC,"October 18, 2024",NA,NA,18,Months,11,Months,"May 13, 2023",H-3 - Temporary trainees,H-3 - Aprendices temporales
I-129,137-H3,ESC,"October 18, 2024",NA,NA,8.5,Months,6,Months,"February 15, 2024",H-3 - Temporary trainees,H-3 - Aprendices temporales
I-129,137-L,CSC,"October 18, 2024",NA,NA,5.5,Months,4,Months,"May 29, 2024",Intracompany transferees and blanket L,Ejecutivos transferidos dentro una misma empresa y petición general L
I-129,137-L,SSC,"October 18, 2024",NA,NA,8,Months,6,Months,"March 08, 2024",Intracompany transferees and blanket L,Ejecutivos transferidos dentro una misma empresa y petición general L
I-129,137-O,CSC,"October 18, 2024",NA,NA,10.5,Months,7,Months,"December 22, 2023",O - Extraordinary ability,O - Capacidad extraordinaria
I-129,137-O,ESC,"October 18, 2024",NA,NA,6,Months,4,Months,"May 10, 2024",O - Extraordinary ability,O - Capacidad extraordinaria
I-129,137-P,CSC,"October 18, 2024",NA,NA,15,Months,7.5,Months,"August 02, 2023","P - Athletes, artists, and entertainers","P - Atletas, artistas, y actores"
I-129,137-P,ESC,"October 18, 2024",NA,NA,5,Months,2,Months,"June 11, 2024","P - Athletes, artists, and entertainers","P - Atletas, artistas, y actores"
I-129,137-Q,CSC,"October 18, 2024",NA,NA,45,Months,14,Months,"February 01, 2021",Q - Cultural exchange visitors,Q - Visitantes de intercambio cultural
I-129,137-Q,ESC,"October 18, 2024",NA,NA,45,Months,14,Months,"February 01, 2021",Q - Cultural exchange visitors,Q - Visitantes de intercambio cultural
I-129,137-R,CSC,"October 18, 2024",NA,NA,6,Months,4.5,Months,"May 03, 2024",R - Religious occupation,R - Ocupación religiosa
I-129,137-TN,ESC,"October 18, 2024",NA,NA,6.5,Months,4.5,Months,"April 28, 2024","TN - United States-Mexico-Canada Agreement (USMCA, formerly NAFTA) professional","TN – Profesionales bajo el Tratado de Libre Comercio de Estados Unidos, Canadá y México (USMCA, anteriormente NAFTA)"
I-129CW,129-CW1,CSC,"October 18, 2024",NA,NA,4.5,Months,3,Months,"June 28, 2024",CW-1 - CNMI-Only Nonimmigrant Transitional Worker,CW-1 - Trabajador Transitorio Solo de CNMI
I-129F,134A-K,CSC,"October 18, 2024",NA,NA,13,Months,9,Months,"October 06, 2023",K1/K2/K3/K4 - Fiance(e) or spouse and/or dependent children,K1/K2/K3/K4 - Prometido(a) o cónyuge y/o hijos dependientes
I-129F,134A-K,NSC,"October 18, 2024",NA,NA,13,Months,10.5,Months,"October 10, 2023",K1/K2/K3/K4 - Fiance(e) or spouse and/or dependent children,K1/K2/K3/K4 - Prometido(a) o cónyuge y/o hijos dependientes
I-129F,134A-K,YSC,"October 18, 2024",NA,NA,14.5,Months,14,Months,"September 02, 2023",K1/K2/K3/K4 - Fiance(e) or spouse and/or dependent children,K1/K2/K3/K4 - Prometido(a) o cónyuge y/o hijos dependientes
I-129F,134A-K,SSC,"October 18, 2024",NA,NA,15,Months,13.5,Months,"August 11, 2023",K1/K2/K3/K4 - Fiance(e) or spouse and/or dependent children,K1/K2/K3/K4 - Prometido(a) o cónyuge y/o hijos dependientes
I-129F,134A-K,ESC,"October 18, 2024",NA,NA,37.5,Months,26.5,Months,"September 22, 2021",K1/K2/K3/K4 - Fiance(e) or spouse and/or dependent children,K1/K2/K3/K4 - Prometido(a) o cónyuge y/o hijos dependientes
I-130,134A-F21,SCD,"October 18, 2024",NA,NA,40,Months,38,Months,"July 07, 2021",Permanent resident filing for a spouse or child under 21,Petición de un residente permanente para un cónyuge o un niño menor de 21años
I-130,134A-F21,NBC,"October 18, 2024",NA,NA,56.5,Months,54,Months,"February 29, 2020",Permanent resident filing for a spouse or child under 21,Petición de un residente permanente para un cónyuge o un niño menor de 21años
I-130,134A-F21,FOD,"October 18, 2024",NA,NA,95.5,Months,82.5,Months,"November 17, 2016",Permanent resident filing for a spouse or child under 21,Petición de un residente permanente para un cónyuge o un niño menor de 21años
I-130,134A-IR,SCD,"October 18, 2024",NA,NA,23,Months,15.5,Months,"December 07, 2022","U.S. citizen filing for a spouse, parent, or child under 21","Petición de un ciudadano de EE.UU. para un cónyuge, un padre, o un niño menor de 21 años"
I-130,134A-IR,NBC,"October 18, 2024",NA,NA,55,Months,46,Months,"April 10, 2020","U.S. citizen filing for a spouse, parent, or child under 21","Petición de un ciudadano de EE.UU. para un cónyuge, un padre, o un niño menor de 21 años"
I-130,134A-IR,FOD,"October 18, 2024",NA,NA,81.5,Months,62,Months,"January 17, 2018","U.S. citizen filing for a spouse, parent, or child under 21","Petición de un ciudadano de EE.UU. para un cónyuge, un padre, o un niño menor de 21 años"
I-130,134B-F11,SCD,"October 18, 2024",NA,NA,107,Months,87.5,Months,"December 13, 2015",U.S. citizen filing for unmarried son/daughter 21 or older,Ciudadano estadounidense que presenta solicitud para hijo o hija soltero de 21 años o mayor
I-130,134B-F11,NBC,"October 18, 2024",NA,NA,57.5,Months,54,Months,"January 22, 2020",U.S. citizen filing for unmarried son/daughter 21 or older,Ciudadano estadounidense que presenta solicitud para hijo o hija soltero de 21 años o mayor
I-130,134B-F11,FOD,"October 18, 2024",NA,NA,128,Months,96.5,Months,"March 07, 2014",U.S. citizen filing for unmarried son/daughter 21 or older,Ciudadano estadounidense que presenta solicitud para hijo o hija soltero de 21 años o mayor
I-130,134B-F24,SCD,"October 18, 2024",NA,NA,78,Months,49,Months,"May 04, 2018",Permanent resident for unmarried son or daughter 21 or older,Residente permanente que presenta solicitud para hijo o hija de 21 años o mayor
I-130,134B-F24,NBC,"October 18, 2024",NA,NA,56,Months,52,Months,"March 05, 2020",Permanent resident for unmarried son or daughter 21 or older,Residente permanente que presenta solicitud para hijo o hija de 21 años o mayor
